TIME,% of pop 0-19 years,% of pop 20-39 years,% of pop 40-59 years,% of pop 60-79 years,% of pop 80+ years
1954,28.884462151394423,27.68924302788845,27.091633466135463,14.54183266932271,1.7928286852589643
1955,29.299999999999997,27.3,27.1,14.499999999999998,1.8000000000000003
1956,29.488465396188563,26.880641925777333,27.28184553660983,14.543630892678033,1.8054162487462388
1957,29.540918163672657,26.846307385229544,27.04590818363274,14.770459081836329,1.796407185628743
1958,29.64071856287425,26.746506986027946,26.94610778443114,14.97005988023952,1.6966067864271457
1959,29.989969909729187,26.68004012036108,26.68004012036108,14.944834503510531,1.7051153460381143
1960,29.98996990972918,26.47943831494483,26.68004012036108,14.94483450351053,1.9057171514543627
1961,30.430430430430427,26.026026026026024,26.626626626626624,15.015015015015015,1.9019019019019017
1962,30.646766169154233,25.572139303482587,26.66666666666667,15.02487562189055,2.0895522388059704
1963,30.76923076923077,25.374625374625374,26.473526473526476,15.284715284715286,2.097902097902098
1964,30.96903096903097,25.27472527472528,26.173826173826175,15.584415584415584,1.998001998001998
1965,31.0,25.1,26.200000000000003,15.7,2.0
1966,31.200000000000006,25.100000000000005,25.800000000000008,15.800000000000002,2.1000000000000005
1967,31.2,25.3,25.5,15.9,2.1
1968,30.999999999999993,25.499999999999996,25.199999999999996,16.1,2.1999999999999997
1969,31.0,25.6,24.9,16.3,2.2
1970,30.999999999999993,25.699999999999996,24.599999999999998,16.499999999999996,2.1999999999999997
1971,31.000000000000007,25.800000000000008,24.300000000000004,16.600000000000005,2.3000000000000003
1972,30.96903096903097,25.874125874125873,24.07592407592408,16.783216783216783,2.2977022977022976
1973,30.96903096903097,25.974025974025977,23.77622377622378,16.883116883116884,2.3976023976023977
1974,30.869130869130867,26.173826173826175,23.47652347652348,17.082917082917085,2.3976023976023977
1975,30.799999999999994,26.299999999999997,23.299999999999997,17.199999999999996,2.4
1976,30.599999999999998,26.5,23.1,17.3,2.5
1977,30.3,26.8,23.1,17.3,2.5
1978,30.060120240480963,27.054108216432866,23.146292585170343,17.234468937875754,2.50501002004008
1979,29.799999999999997,27.3,23.2,17.1,2.6
1980,29.470529470529467,27.57242757242757,23.076923076923077,17.182817182817182,2.697302697302697
1981,29.170829170829165,27.97202797202797,22.777222777222775,17.38261738261738,2.697302697302697
1982,28.828828828828833,28.328328328328332,22.522522522522525,17.51751751751752,2.8028028028028027
1983,28.4,28.7,22.4,17.6,2.9
1984,27.927927927927925,29.02902902902903,22.422422422422418,17.61761761761762,3.003003003003003
1985,27.472527472527474,29.37062937062937,22.47752247752248,17.582417582417584,3.0969030969030973
1986,27.1,29.7,22.5,17.5,3.2
1987,26.700000000000003,29.799999999999997,22.7,17.5,3.3000000000000003
1988,26.400000000000002,29.7,23.1,17.4,3.4000000000000004
1989,26.100000000000005,29.700000000000003,23.400000000000002,17.300000000000004,3.5000000000000004
1990,25.900000000000002,29.700000000000003,23.600000000000005,17.200000000000003,3.6000000000000005
1991,25.699999999999996,29.799999999999997,23.699999999999996,17.099999999999998,3.6999999999999997
1992,25.6,29.799999999999997,23.799999999999997,17.099999999999998,3.6999999999999997
1993,25.425425425425423,29.829829829829833,24.024024024024026,16.916916916916914,3.8038038038038042
1994,25.4,29.7,24.2,16.8,3.9
1995,25.37462537462537,29.570429570429567,24.375624375624373,16.683316683316683,3.996003996003996
1996,25.4,29.4,24.5,16.7,4.0
1997,25.4,29.2,24.7,16.7,4.0
1998,25.499999999999996,28.89999999999999,24.999999999999996,16.7,3.8999999999999995
1999,25.4,28.7,25.2,16.8,3.9
2000,25.3,28.499999999999996,25.5,16.8,3.9
2001,25.1,28.4,25.8,16.6,4.1
2002,24.999999999999996,28.199999999999996,26.099999999999994,16.499999999999996,4.199999999999999
2003,24.900000000000002,27.900000000000002,26.400000000000002,16.500000000000004,4.300000000000001
2004,24.800000000000004,27.700000000000003,26.60000000000001,16.600000000000005,4.300000000000001
2005,24.624624624624623,27.527527527527525,26.826826826826828,16.716716716716714,4.304304304304304
2006,24.4,27.399999999999995,27.0,16.8,4.4
2007,24.3,27.3,27.0,17.0,4.4
2008,24.224224224224223,27.227227227227225,26.826826826826828,17.31731731731732,4.404404404404405
2009,24.1,27.0,26.8,17.6,4.5
2010,24.024024024024026,26.826826826826828,26.826826826826828,17.81781781781782,4.504504504504505
2011,23.876123876123874,26.773226773226778,26.873126873126875,17.882117882117882,4.595404595404595
2012,23.8,26.700000000000003,26.899999999999995,18.0,4.6
2013,23.699999999999996,26.499999999999996,26.999999999999996,18.099999999999998,4.699999999999999
2014,23.7,26.400000000000002,26.899999999999995,18.3,4.7
2015,23.600000000000005,26.400000000000002,26.800000000000008,18.400000000000002,4.800000000000001
2016,23.5,26.5,26.700000000000003,18.5,4.8
2017,23.5,26.400000000000002,26.6,18.6,4.9
